label,photo,sensor,calib_level,f,cx,cy,k1,k2,n_markers_observed,mean_marker_err_px,max_marker_err_px
DSC05242,DSC05242.JPG,DSC05242,per-camera,4021.2138,8.159,-21.3751,-0.056131,0.042032,0,,
DSC05243,DSC05243.JPG,DSC05243,per-camera,4022.676,17.2418,-20.1672,-0.063876,0.073721,0,,
DSC05244,DSC05244.JPG,DSC05244,per-camera,4021.3529,19.8927,-15.9691,-0.063463,0.07571,0,,
DSC05245,DSC05245.JPG,DSC05245,per-camera,4022.4161,23.1547,-15.576,-0.064081,0.07323,0,,
DSC05246,DSC05246.JPG,DSC05246,per-camera,4022.3328,22.3155,-14.5639,-0.066712,0.092088,0,,
DSC05247,DSC05247.JPG,DSC05247,per-camera,4019.274,16.5471,-14.5053,-0.060992,0.066924,0,,
DSC05248,DSC05248.JPG,DSC05248,per-camera,4016.7836,2.9807,-14.5005,-0.064235,0.079893,0,,
DSC05249,DSC05249.JPG,DSC05249,per-camera,4011.4831,-0.563,-14.2561,-0.064182,0.079618,0,,
DSC05250,DSC05250.JPG,DSC05250,per-camera,4003.3402,-2.9043,-11.1882,-0.057724,0.047017,0,,
DSC05251,DSC05251.JPG,DSC05251,per-camera,3997.8063,-4.9807,-8.0354,-0.062618,0.073561,0,,
DSC05252,DSC05252.JPG,DSC05252,per-camera,3991.0354,8.3835,-3.757,-0.062568,0.08259,0,,
DSC05253,DSC05253.JPG,DSC05253,per-camera,3988.309,19.3105,-2.1089,-0.058202,0.058779,0,,
DSC05254,DSC05254.JPG,DSC05254,per-camera,3990.0158,23.0749,-7.0955,-0.06427,0.083318,0,,
DSC05255,DSC05255.JPG,DSC05255,per-camera,3960.0295,4.0023,8.177,-0.057938,0.042538,0,,
DSC05256,DSC05256.JPG,DSC05256,per-camera,3962.5626,8.1191,-1.903,-0.060389,0.057537,0,,
DSC05257,DSC05257.JPG,DSC05257,per-camera,3964.7813,6.5069,2.3928,-0.056718,0.041316,0,,
DSC05258,DSC05258.JPG,DSC05258,per-camera,3966.0723,6.3491,11.4945,-0.057292,0.040478,0,,
DSC05260,DSC05260.JPG,DSC05260,per-camera,3971.0439,6.1379,16.3599,-0.051623,0.017251,0,,
DSC05261,DSC05261.JPG,DSC05261,per-camera,3977.3256,7.1912,26.1484,-0.053563,0.022612,0,,
DSC05262,DSC05262.JPG,DSC05262,per-camera,3978.1621,7.3954,24.4606,-0.050744,0.011193,0,,
DSC05263,DSC05263.JPG,DSC05263,per-camera,3984.8746,7.1451,21.8994,-0.055212,0.030412,0,,
DSC05264,DSC05264.JPG,DSC05264,per-camera,3985.0434,5.3465,23.5234,-0.054825,0.030603,0,,
DSC05265,DSC05265.JPG,DSC05265,per-camera,3996.7966,10.3725,30.8465,-0.05616,0.034175,0,,
DSC05266,DSC05266.JPG,DSC05266,per-camera,4007.8477,9.2927,34.9145,-0.055848,0.033773,0,,
DSC05267,DSC05267.JPG,DSC05267,per-camera,4009.6579,8.5334,30.6604,-0.05477,0.027997,0,,
DSC05268,DSC05268.JPG,DSC05268,per-camera,4014.773,14.5284,22.7257,-0.057729,0.044036,0,,
DSC05269,DSC05269.JPG,DSC05269,per-camera,4016.4803,14.2057,18.1994,-0.051377,0.010395,0,,
DSC05270,DSC05270.JPG,DSC05270,per-camera,4015.8466,13.3935,14.2486,-0.053869,0.026663,0,,
DSC05271,DSC05271.JPG,DSC05271,per-camera,4016.8872,12.0336,11.3796,-0.057492,0.044972,0,,
DSC05272,DSC05272.JPG,DSC05272,per-camera,4017.5012,11.713,9.0371,-0.056757,0.04274,0,,
DSC05273,DSC05273.JPG,DSC05273,per-camera,4015.7269,9.4059,5.9605,-0.056224,0.039111,0,,
DSC05274,DSC05274.JPG,DSC05274,per-camera,4014.0911,9.4442,5.4123,-0.056319,0.041639,0,,
DSC05275,DSC05275.JPG,DSC05275,per-camera,4014.923,10.9415,4.3029,-0.056245,0.042542,0,,
DSC05276,DSC05276.JPG,DSC05276,per-camera,4014.9875,10.4286,2.3535,-0.05774,0.047746,0,,
DSC05277,DSC05277.JPG,DSC05277,per-camera,4012.5444,9.9622,0.417,-0.057704,0.04685,0,,
DSC05278,DSC05278.JPG,DSC05278,per-camera,4009.3439,8.53,-2.1851,-0.056406,0.039988,0,,
DSC05279,DSC05279.JPG,DSC05279,per-camera,4005.6179,6.4988,1.2595,-0.056376,0.038312,0,,
DSC05280,DSC05280.JPG,DSC05280,per-camera,4003.5565,4.2044,-0.4253,-0.055271,0.034468,0,,
DSC05281,DSC05281.JPG,DSC05281,per-camera,4003.8682,5.0531,2.6072,-0.057226,0.042737,0,,
DSC05282,DSC05282.JPG,DSC05282,per-camera,4003.0956,4.6356,5.7589,-0.06054,0.059392,0,,
DSC05283,DSC05283.JPG,DSC05283,per-camera,4001.0453,4.1906,7.3013,-0.059173,0.055502,0,,
DSC05284,DSC05284.JPG,DSC05284,per-camera,3999.5123,3.11,7.6828,-0.057822,0.047563,0,,
DSC05285,DSC05285.JPG,DSC05285,per-camera,3996.9229,0.6366,10.0343,-0.056993,0.044148,0,,
DSC05286,DSC05286.JPG,DSC05286,per-camera,3998.8236,1.6399,16.3355,-0.056222,0.036582,0,,
DSC05287,DSC05287.JPG,DSC05287,per-camera,3998.5043,0.3072,16.4173,-0.058279,0.044834,0,,
DSC05288,DSC05288.JPG,DSC05288,per-camera,3999.859,-0.3866,18.7151,-0.0593,0.050364,0,,
DSC05289,DSC05289.JPG,DSC05289,per-camera,4000.3538,-1.2653,19.7413,-0.057156,0.039457,0,,
DSC05290,DSC05290.JPG,DSC05290,per-camera,4005.7718,-0.2689,21.9444,-0.059647,0.055017,0,,
DSC05291,DSC05291.JPG,DSC05291,per-camera,4008.8134,0.7377,22.9602,-0.057157,0.045337,0,,
DSC05292,DSC05292.JPG,DSC05292,per-camera,4008.6607,1.5854,22.9291,-0.052582,0.024897,0,,
DSC05293,DSC05293.JPG,DSC05293,per-camera,4009.5963,-0.3375,23.8743,-0.054895,0.031373,0,,
DSC05294,DSC05294.JPG,DSC05294,per-camera,4011.8464,-1.1209,26.3838,-0.058532,0.044549,0,,
DSC05295,DSC05295.JPG,DSC05295,per-camera,4011.6066,-1.5905,25.5217,-0.055592,0.03032,0,,
DSC05296,DSC05296.JPG,DSC05296,per-camera,4014.0096,-0.1867,27.6926,-0.056948,0.033493,0,,
DSC05297,DSC05297.JPG,DSC05297,per-camera,4019.08,0.0503,28.929,-0.059467,0.048709,0,,
DSC05298,DSC05298.JPG,DSC05298,per-camera,4021.671,-1.7883,28.5043,-0.058257,0.042046,0,,
DSC05299,DSC05299.JPG,DSC05299,per-camera,4029.3568,-2.2258,26.6285,-0.057203,0.039451,0,,
DSC05300,DSC05300.JPG,DSC05300,per-camera,4036.0745,-3.1474,23.2744,-0.058236,0.044976,0,,
DSC05301,DSC05301.JPG,DSC05301,per-camera,4038.0312,-5.5241,21.1744,-0.0568,0.039414,0,,
DSC05302,DSC05302.JPG,DSC05302,per-camera,4043.6891,-4.3523,18.0201,-0.058741,0.04737,0,,
DSC05303,DSC05303.JPG,DSC05303,per-camera,4047.3153,-4.849,11.993,-0.057433,0.038648,0,,
DSC05304,DSC05304.JPG,DSC05304,per-camera,4051.5567,-1.6277,8.0437,-0.055463,0.024816,0,,
DSC05305,DSC05305.JPG,DSC05305,per-camera,4053.1236,18.208,-23.3275,-0.047426,0.019075,0,,
DSC05306,DSC05306.JPG,DSC05306,per-camera,4052.2166,12.4066,-23.84,-0.044985,0.007607,0,,
DSC05307,DSC05307.JPG,DSC05307,per-camera,4050.5115,6.9733,-21.1875,-0.044918,0.010057,0,,
DSC05308,DSC05308.JPG,DSC05308,per-camera,4047.8577,-0.3569,-21.8736,-0.043399,6.6e-05,0,,
DSC05309,DSC05309.JPG,DSC05309,per-camera,4043.9693,-6.4854,-21.3254,-0.047402,0.013403,0,,
DSC05310,DSC05310.JPG,DSC05310,per-camera,4040.3122,-6.7812,-20.4826,-0.050212,0.032519,0,,
DSC05311,DSC05311.JPG,DSC05311,per-camera,4040.7134,-2.1158,-21.1682,-0.05086,0.034699,0,,
DSC05312,DSC05312.JPG,DSC05312,per-camera,4032.1738,-6.8161,-18.0774,-0.045364,0.007618,0,,
DSC05313,DSC05313.JPG,DSC05313,per-camera,4028.478,-5.495,-17.3758,-0.047497,0.022173,0,,
DSC05314,DSC05314.JPG,DSC05314,per-camera,4025.6994,-4.3009,-15.2109,-0.046479,0.019265,0,,
DSC05315,DSC05315.JPG,DSC05315,per-camera,4022.1124,1.436,-13.956,-0.047719,0.024921,0,,
DSC05316,DSC05316.JPG,DSC05316,per-camera,4020.558,4.8262,-13.5078,-0.045252,0.011717,0,,
DSC05317,DSC05317.JPG,DSC05317,per-camera,4017.446,9.8952,-11.8711,-0.046263,0.022151,0,,
DSC05318,DSC05318.JPG,DSC05318,per-camera,4017.7067,11.8817,-11.9662,-0.046633,0.020357,0,,
DSC05319,DSC05319.JPG,DSC05319,per-camera,4016.834,14.3419,-10.1244,-0.045829,0.015223,0,,
DSC05320,DSC05320.JPG,DSC05320,per-camera,4016.7227,17.6944,-6.8435,-0.048731,0.032418,0,,
DSC05321,DSC05321.JPG,DSC05321,per-camera,4016.9557,21.8227,-5.9917,-0.049721,0.034269,0,,
DSC05322,DSC05322.JPG,DSC05322,per-camera,4016.4706,21.2565,-4.9649,-0.047822,0.024098,0,,
DSC05323,DSC05323.JPG,DSC05323,per-camera,4016.7257,21.5746,-1.7617,-0.048918,0.029661,0,,
DSC05324,DSC05324.JPG,DSC05324,per-camera,4015.0595,22.3168,-1.3074,-0.045983,0.019833,0,,
DSC05325,DSC05325.JPG,DSC05325,per-camera,4014.6914,22.5944,-0.5748,-0.045385,0.018909,0,,
DSC05326,DSC05326.JPG,DSC05326,per-camera,4013.8424,19.976,0.7754,-0.043477,0.010504,0,,
DSC05327,DSC05327.JPG,DSC05327,per-camera,4013.2641,17.0011,1.2402,-0.044072,0.008863,0,,
DSC05328,DSC05328.JPG,DSC05328,per-camera,4012.9856,13.939,2.4994,-0.045854,0.017083,0,,
DSC05329,DSC05329.JPG,DSC05329,per-camera,4012.5447,11.509,2.5798,-0.050284,0.037057,0,,
DSC05330,DSC05330.JPG,DSC05330,per-camera,4011.3385,9.0945,2.4574,-0.04797,0.024024,0,,
DSC05331,DSC05331.JPG,DSC05331,per-camera,4010.5606,6.598,2.5146,-0.053022,0.051965,0,,
DSC05332,DSC05332.JPG,DSC05332,per-camera,4010.906,4.3774,2.3405,-0.05033,0.032822,0,,
DSC05333,DSC05333.JPG,DSC05333,per-camera,4009.2674,3.2007,1.837,-0.047022,0.017998,0,,
DSC05334,DSC05334.JPG,DSC05334,per-camera,4005.7693,-0.9814,2.6399,-0.050834,0.043259,0,,
DSC05335,DSC05335.JPG,DSC05335,per-camera,4003.9351,-1.7417,2.3091,-0.047643,0.026425,0,,
DSC05336,DSC05336.JPG,DSC05336,per-camera,4000.3652,-2.262,1.8734,-0.04689,0.028895,0,,
DSC05337,DSC05337.JPG,DSC05337,per-camera,3996.7223,-2.8476,0.6896,-0.045375,0.017314,0,,
DSC05338,DSC05338.JPG,DSC05338,per-camera,3994.7073,-3.7683,-1.6409,-0.046577,0.017931,0,,
DSC05339,DSC05339.JPG,DSC05339,per-camera,3990.4438,-1.3745,-3.0239,-0.045449,0.021998,0,,
DSC05340,DSC05340.JPG,DSC05340,per-camera,3987.5273,0.5913,-3.7095,-0.041728,-0.00471,0,,
DSC05341,DSC05341.JPG,DSC05341,per-camera,3988.4895,0.4154,-3.6608,-0.045284,0.00748,0,,
DSC05342,DSC05342.JPG,DSC05342,per-camera,3985.6257,9.1102,-3.9656,-0.050801,0.048698,0,,
DSC05343,DSC05343.JPG,DSC05343,per-camera,3984.2298,13.1384,-5.1237,-0.049556,0.038444,0,,
DSC05344,DSC05344.JPG,DSC05344,per-camera,3984.0914,15.7314,-6.6318,-0.050682,0.042641,0,,
DSC05345,DSC05345.JPG,DSC05345,per-camera,3983.6578,16.9448,-7.1295,-0.050986,0.039965,0,,
DSC05346,DSC05346.JPG,DSC05346,per-camera,3983.4839,24.6818,-7.4014,-0.053064,0.051589,0,,
DSC05347,DSC05347.JPG,DSC05347,per-camera,3981.7591,21.1601,-7.6635,-0.04668,0.022122,0,,
DSC05348,DSC05348.JPG,DSC05348,per-camera,3982.6424,32.5814,-9.6088,-0.049555,0.034151,0,,
DSC05349,DSC05349.JPG,DSC05349,per-camera,3983.3345,36.6642,-9.3831,-0.051341,0.041944,0,,
DSC05350,DSC05350.JPG,DSC05350,per-camera,3984.2577,37.6816,-10.2512,-0.051928,0.04096,0,,
DSC05351,DSC05351.JPG,DSC05351,per-camera,3969.9289,30.9935,26.9147,-0.064689,0.10605,0,,
DSC05352,DSC05352.JPG,DSC05352,per-camera,3963.824,27.261,8.281,-0.062524,0.076858,0,,
DSC05353,DSC05353.JPG,DSC05353,per-camera,3961.7935,29.3451,6.5823,-0.061769,0.06935,0,,
DSC05354,DSC05354.JPG,DSC05354,per-camera,3962.2485,30.9527,-5.4634,-0.0661,0.091203,0,,
DSC05355,DSC05355.JPG,DSC05355,per-camera,3962.1127,30.4785,-6.1324,-0.063142,0.077421,0,,
DSC05356,DSC05356.JPG,DSC05356,per-camera,3966.4889,29.946,-16.7871,-0.066445,0.092353,0,,
DSC05357,DSC05357.JPG,DSC05357,per-camera,3971.6458,28.8046,-24.1848,-0.065964,0.089216,0,,
DSC05358,DSC05358.JPG,DSC05358,per-camera,3973.2476,27.0686,-21.6164,-0.062849,0.072524,0,,
DSC05359,DSC05359.JPG,DSC05359,per-camera,3980.2456,25.9198,-30.7742,-0.059043,0.055019,0,,
DSC05360,DSC05360.JPG,DSC05360,per-camera,3986.7122,23.5061,-33.109,-0.056789,0.048767,0,,
DSC05361,DSC05361.JPG,DSC05361,per-camera,3992.4279,23.044,-26.83,-0.057596,0.053221,0,,
DSC05362,DSC05362.JPG,DSC05362,per-camera,4001.1134,26.7627,-31.5068,-0.0596,0.063642,0,,
DSC05363,DSC05363.JPG,DSC05363,per-camera,3999.4256,26.9498,-30.9949,-0.054953,0.0367,0,,
DSC05364,DSC05364.JPG,DSC05364,per-camera,3999.3088,25.611,-26.4517,-0.063428,0.081216,0,,
DSC05365,DSC05365.JPG,DSC05365,per-camera,3997.3526,27.0132,-32.3611,-0.063758,0.083472,0,,
DSC05366,DSC05366.JPG,DSC05366,per-camera,3992.1315,27.6341,-34.1016,-0.063899,0.086097,0,,
DSC05367,DSC05367.JPG,DSC05367,per-camera,3982.3034,30.887,-20.7015,-0.064924,0.090023,0,,
DSC05368,DSC05368.JPG,DSC05368,per-camera,4005.4777,25.8828,-23.7878,-0.062176,0.074453,0,,
DSC05369,DSC05369.JPG,DSC05369,per-camera,4009.6912,25.4675,-27.8964,-0.061969,0.074803,0,,
DSC05370,DSC05370.JPG,DSC05370,per-camera,4011.3284,24.1101,-20.0869,-0.061529,0.072495,0,,
DSC05371,DSC05371.JPG,DSC05371,per-camera,4009.9191,23.6137,-23.6461,-0.061445,0.072002,0,,
DSC05372,DSC05372.JPG,DSC05372,per-camera,4008.8002,26.1306,-24.168,-0.061608,0.071606,0,,
DSC05373,DSC05373.JPG,DSC05373,per-camera,4022.6002,30.7566,-2.6306,-0.066221,0.092401,0,,
DSC05374,DSC05374.JPG,DSC05374,per-camera,4019.0242,23.9984,-9.2885,-0.060782,0.070234,0,,
DSC05375,DSC05375.JPG,DSC05375,per-camera,4019.2466,25.1033,-2.6878,-0.06253,0.074591,0,,
DSC05376,DSC05376.JPG,DSC05376,per-camera,4018.01,25.5808,-1.4631,-0.059768,0.063189,0,,
DSC05377,DSC05377.JPG,DSC05377,per-camera,4018.3592,26.4954,0.6032,-0.060705,0.071579,0,,
DSC05378,DSC05378.JPG,DSC05378,per-camera,4013.472,29.1376,-5.8781,-0.059618,0.065479,0,,
DSC05379,DSC05379.JPG,DSC05379,per-camera,4010.0321,31.9796,3.6213,-0.061306,0.071103,0,,
DSC05380,DSC05380.JPG,DSC05380,per-camera,4007.0166,32.4504,-2.7176,-0.059124,0.062636,0,,
DSC05381,DSC05381.JPG,DSC05381,per-camera,4004.7613,36.8442,3.2548,-0.061964,0.078513,0,,
DSC05382,DSC05382.JPG,DSC05382,per-camera,4003.2308,36.1744,-6.7994,-0.059888,0.070118,0,,
DSC05383,DSC05383.JPG,DSC05383,per-camera,4001.7637,37.4805,-3.5722,-0.061425,0.074555,0,,
DSC05384,DSC05384.JPG,DSC05384,per-camera,4000.5705,36.0131,-8.8209,-0.061941,0.077225,0,,
DSC05385,DSC05385.JPG,DSC05385,per-camera,3999.6113,39.3815,-6.4331,-0.063137,0.081469,0,,
DSC05386,DSC05386.JPG,DSC05386,per-camera,4000.9772,43.1637,-19.2764,-0.061019,0.069155,0,,
DSC05387,DSC05387.JPG,DSC05387,per-camera,4002.4454,45.7011,-16.7488,-0.06364,0.079165,0,,
DSC05388,DSC05388.JPG,DSC05388,per-camera,4006.0113,50.2339,-17.0016,-0.062506,0.079098,0,,
DSC05389,DSC05389.JPG,DSC05389,per-camera,4011.0051,47.9227,-22.1497,-0.064487,0.089083,0,,
DSC05390,DSC05390.JPG,DSC05390,per-camera,4012.5371,48.2251,-22.6602,-0.063549,0.085419,0,,
DSC05391,DSC05391.JPG,DSC05391,per-camera,4014.3208,49.0328,-23.3178,-0.063963,0.087544,0,,
DSC05392,DSC05392.JPG,DSC05392,per-camera,4014.8052,48.6647,-24.2335,-0.063571,0.085153,0,,
DSC05393,DSC05393.JPG,DSC05393,per-camera,4015.1667,45.3804,-32.4499,-0.062019,0.076263,0,,
DSC05394,DSC05394.JPG,DSC05394,per-camera,4018.5409,48.3081,-31.7615,-0.062446,0.082554,0,,
DSC05395,DSC05395.JPG,DSC05395,per-camera,4025.9612,45.8816,-24.1311,-0.065396,0.093042,0,,
DSC05396,DSC05396.JPG,DSC05396,per-camera,4029.6146,45.7968,-22.4114,-0.065606,0.094808,0,,
DSC05397,DSC05397.JPG,DSC05397,per-camera,4031.2358,47.3112,-24.4435,-0.066108,0.097379,0,,
DSC05398,DSC05398.JPG,DSC05398,per-camera,4033.6436,45.379,-25.3035,-0.066708,0.097498,0,,
DSC05399,DSC05399.JPG,DSC05399,per-camera,4035.6677,44.6926,-25.6153,-0.068505,0.10732,0,,
DSC05400,DSC05400.JPG,DSC05400,per-camera,4038.6807,45.2804,-24.9971,-0.069449,0.112316,0,,
DSC05401,DSC05401.JPG,DSC05401,per-camera,4044.7814,46.7539,-19.5583,-0.069295,0.108093,0,,
DSC05402,DSC05402.JPG,DSC05402,per-camera,4049.6638,47.6953,-18.2597,-0.069841,0.106615,0,,
DSC05403,DSC05403.JPG,DSC05403,per-camera,4055.1517,47.5074,-3.5247,-0.070613,0.109609,0,,
DSC05404,DSC05404.JPG,DSC05404,per-camera,4056.4921,47.1206,-1.1079,-0.070641,0.106041,0,,
DSC05405,DSC05405.JPG,DSC05405,per-camera,4038.2938,17.4601,11.6634,-0.040183,-0.010806,0,,
DSC05406,DSC05406.JPG,DSC05406,per-camera,4037.6877,27.5145,14.4809,-0.037043,-0.024366,0,,
DSC05407,DSC05407.JPG,DSC05407,per-camera,4037.89,17.7768,13.684,-0.038638,-0.018754,0,,
DSC05408,DSC05408.JPG,DSC05408,per-camera,4037.5991,35.7753,13.3438,-0.035086,-0.035784,0,,
DSC05409,DSC05409.JPG,DSC05409,per-camera,4038.9311,22.3418,14.4995,-0.038258,-0.021151,0,,
DSC05410,DSC05410.JPG,DSC05410,per-camera,4041.2737,19.2456,9.8602,-0.041795,-0.005715,0,,
DSC05411,DSC05411.JPG,DSC05411,per-camera,4042.5261,13.6942,11.3901,-0.044458,0.00823,0,,
DSC05412,DSC05412.JPG,DSC05412,per-camera,4040.6469,12.7906,10.4311,-0.043383,0.005952,0,,
DSC05413,DSC05413.JPG,DSC05413,per-camera,4039.6431,-0.21,9.2285,-0.045551,0.009904,0,,
DSC05414,DSC05414.JPG,DSC05414,per-camera,3990.4218,-2.9198,0.6945,-0.042962,0.000328,0,,
DSC05415,DSC05415.JPG,DSC05415,per-camera,3992.8634,-2.1226,2.8969,-0.047078,0.019277,0,,
DSC05417,DSC05417.JPG,DSC05417,per-camera,3991.7139,-1.8198,3.7345,-0.042702,0.002716,0,,
DSC05418,DSC05418.JPG,DSC05418,per-camera,3992.981,1.7033,5.8694,-0.04311,0.00359,0,,
DSC05419,DSC05419.JPG,DSC05419,per-camera,3994.1232,3.0111,4.5583,-0.044984,0.013872,0,,
DSC05420,DSC05420.JPG,DSC05420,per-camera,3993.3997,1.248,2.3917,-0.043646,0.006979,0,,
DSC05421,DSC05421.JPG,DSC05421,per-camera,3987.9826,16.2282,-14.1003,-0.061357,0.079033,0,,
DSC05422,DSC05422.JPG,DSC05422,per-camera,3989.1474,16.9954,-12.4331,-0.064703,0.093433,0,,
DSC05423,DSC05423.JPG,DSC05423,per-camera,3989.1366,15.9368,-12.8309,-0.06442,0.090737,0,,
DSC05424,DSC05424.JPG,DSC05424,per-camera,3989.8966,9.9518,-10.0417,-0.063089,0.083383,0,,
DSC05425,DSC05425.JPG,DSC05425,per-camera,3990.2437,5.9757,-8.1814,-0.063774,0.089108,0,,
DSC05426,DSC05426.JPG,DSC05426,per-camera,3991.6155,4.3637,-4.6418,-0.061821,0.080072,0,,
DSC05427,DSC05427.JPG,DSC05427,per-camera,3993.1969,-0.1171,-2.1094,-0.06084,0.075974,0,,
DSC05428,DSC05428.JPG,DSC05428,per-camera,3996.246,-2.407,0.7094,-0.060914,0.073798,0,,
DSC05429,DSC05429.JPG,DSC05429,per-camera,3999.2248,-2.7709,3.7349,-0.062571,0.085867,0,,
DSC05430,DSC05430.JPG,DSC05430,per-camera,3999.438,-0.2211,3.9268,-0.063042,0.087001,0,,
DSC05431,DSC05431.JPG,DSC05431,per-camera,4000.2797,0.427,3.966,-0.063683,0.089173,0,,
DSC05432,DSC05432.JPG,DSC05432,per-camera,4001.1047,5.4219,3.9545,-0.064679,0.095714,0,,
DSC05433,DSC05433.JPG,DSC05433,per-camera,4006.5997,5.1649,4.2923,-0.065068,0.093885,0,,
DSC05434,DSC05434.JPG,DSC05434,per-camera,4006.9343,6.2862,4.3302,-0.063641,0.087303,0,,
